carrier,_c1
AA,2495
AS,597
B6,319
CO,1071
DH,945
DL,2457
EV,996
FL,580
HA,173
HP,701
MQ,1724
NW,1811
OH,1333
OO,1656
TZ,271
UA,1983
US,1498
WN,3538
XE,1313
